ctn_no,category,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,order,vessel_reference,destination_port_code,ctn_status,ctn_size,weight,ctn_weight,flag
TGBU4760460,1,54,84,4,3,2022/11/3 7:34,,194,AWS2,USLGB,1,2.25,19052.5,6,0
CSNU4026575,1,59,32,5,2,2022/11/3 7:35,,195,AWS2,USLGB,1,2,22775,7,0
TCLU9687180,1,52,24,3,4,2022/11/3 7:36,,196,AWS2,USLG6,1,2.25,12763.7,4,0
MAGU5239250,1,54,84,4,4,2022/11/3 7:37,,197,AWS2,USLGB,1,2.25,19634.5,6,0
DFSU6182082,1,54,84,4,5,2022/11/3 7:41,,198,AWS2,USLGB,1,2.25,15544.4,5,0
TLLU8518055,1,53,60,3,1,2022/11/3 7:42,,199,AWS2,USLGB,1,2.25,16655,5,0
CSNU6693108,1,54,84,6,3,2022/11/3 7:44,,200,AWS2,USLGB,1,2.25,10955.2,3,0
OOLU4443581,1,59,32,4,3,2022/11/3 7:45,,201,AWS2,USLGB,1,2,7373,2,0
OOLU8650020,1,53,60,3,2,2022/11/3 7:46,,202,AWS2,USLGB,1,2.25,15334.4,5,0
TTNU8414900,1,46,14,5,2,2022/11/3 7:48,,203,AWS2,USLGB,1,2.25,29005.2,9,0
OOLU8889740,1,53,60,2,2,2022/11/3 7:49,,204,AWS2,USLGB,1,2.25,14176.4,4,0
OOCU8418235,1,59,14,3,1,2022/11/3 7:51,,205,AWS2,USLGB,1,2.25,20210,6,0
OOCU8791470,1,53,60,2,3,2022/11/3 7:53,,206,AWS2,USLGB,1,2.25,12900,4,0
EISU9156910,1,53,60,2,4,2022/11/3 7:55,,207,AWS2,USLGB,1,2.25,13923.4,4,0
OOCU6842012,1,53,60,2,5,2022/11/3 7:57,,208,AWS2,USLGB,1,2.25,11399,3,0
SEGU6533264,1,51,54,1,1,2022/11/3 8:13,,209,AWS2,USLGB,1,2.25,13953.2,4,0
BEAU5570195,1,51,54,1,2,2022/11/3 8:16,,210,AWS2,USLGB,1,2.25,10465,3,0
CBHU8604380,1,53,72,4,1,2022/11/3 8:17,,211,AWS2,USLG3,1,2.25,23773,7,0
TFLU4990796,1,51,54,1,3,2022/11/3 8:21,,212,AWS2,USLGB,1,2.25,13495,4,0
TLLU4423408,1,51,54,1,4,2022/11/3 8:24,,213,AWS2,USLGB,1,2.25,10855.2,3,0
TCNU5402712,1,59,20,1,1,2022/11/3 8:24,,214,AWS2,USLGB,1,2.25,14875.8,4,0
CMAU9116038,1,59,32,4,4,2022/11/3 8:27,,215,AWS2,USLGB,1,2,15728,5,0
CSNU7828640,1,46,14,5,3,2022/11/3 8:33,,216,AWS2,USLGB,1,2.25,21719,7,0
FSCU8984061,1,51,70,1,1,2022/11/3 8:34,,217,AWS2,USLGB,1,2.25,19275,6,0
OOCU8776157,1,42,34,5,4,2022/11/3 8:42,,218,AWS2,USLGB,1,2.25,13140,4,0
TGHU6499933,1,59,20,1,2,2022/11/3 8:42,,219,AWS2,USLGB,1,2.25,14227.3,4,0
SEGU6599132,1,53,60,3,3,2022/11/3 8:45,,220,AWS2,USLGB,1,2.25,15251,5,0
CSNU6069827,1,53,60,3,4,2022/11/3 8:48,,221,AWS2,USLGB,1,2.25,19724,6,0
CSNU8078068,1,46,14,5,4,2022/11/3 8:57,,222,AWS2,USLGB,1,2.25,22141.8,7,0
TCKU7668899,1,4A,90,5,2,2022/11/3 8:57,,223,AWS2,USLGB,1,2.25,6530,2,0
EITU1410390,1,53,60,3,5,2022/11/3 9:00,,224,AWS2,USLGB,1,2.25,16120,5,0
TRHU5533980,1,43,26,1,1,2022/11/3 9:00,,225,AWS2,USLGB,1,2.25,17008.9,5,0
TCNU1087783,1,43,26,1,2,2022/11/3 9:03,,226,AWS2,USLGB,1,2.25,19141,6,0
IMTU1089940,1,46,14,5,5,2022/11/3 9:05,,227,AWS2,USLGB,1,2,22545,7,0
EITU9436745,1,59,20,1,3,2022/11/3 9:10,,228,AWS2,USLGB,1,2.25,11854,3,0
CSNU7457679,1,43,26,1,3,2022/11/3 9:17,,229,AWS2,USLGB,1,2.25,15800.1,5,0
TGBU7885944,1,43,26,1,4,2022/11/3 9:21,,230,AWS2,USLGB,1,2.25,16320,5,0
GCXU5611345,1,4A,90,5,3,2022/11/3 9:21,,231,AWS2,USLGB,1,2.25,7693,2,0
OOCU6900166,1,4A,90,5,4,2022/11/3 9:24,,232,AWS2,USLGB,1,2.25,10242,3,0
SZLU9480958,1,42,34,4,1,2022/11/3 9:29,,233,AWS2,USLGB,1,2.25,28444.5,9,0
TCNU9997440,1,55,20,2,3,2022/11/3 9:29,,234,AWS2,USLGB,1,2.25,9463.2,3,0
DRYU9930680,1,2E,70,5,1,2022/11/3 9:31,,235,AWS2,USLGB,1,2.25,16180,5,0
OOCU7421194,1,2E,70,5,2,2022/11/3 9:35,,236,AWS2,USLGB,1,2.25,19729,6,0
OOLU7839025,1,54,28,2,1,2022/11/3 9:38,,237,AWS2,USLGB,1,2,9800,3,0
CBHU8535865,1,52,72,2,1,2022/11/3 9:38,,238,AWS2,USLG6,1,2.25,23773,7,0
BSIU9309282,1,48,64,5,3,2022/11/3 9:39,,239,AWS2,USLGB,1,2.25,15941.4,5,0
CSNU4013109,1,42,34,4,2,2022/11/3 9:39,,240,AWS2,USLGB,1,2,27400,9,0
SEGU6903570,1,42,34,4,3,2022/11/3 9:43,,241,AWS2,USLGB,1,2.25,23451,7,0
OOCU6845290,1,42,34,4,4,2022/11/3 9:49,,242,AWS2,USLGB,1,2.25,21680,7,0
CSNU6639215,1,48,64,5,4,2022/11/3 10:06,,243,AWS2,USLGB,1,2.25,16588,5,0
APZU4907730,1,51,74,2,1,2022/11/3 10:10,,244,AWS2,USLGB,1,2,19179.8,6,0
CSNU7079012,1,57,78,1,1,2022/11/3 10:11,,245,AWS2,USLG1,1,2.25,18139,6,0
